I apologize	It's all good!
My bad	It's all good!
Sry	It's all good!
I just wanted to say sorry	It's all good!
Sorry I messed up	It's all good!
I'm really sorry about that	It's all good!
Can you forgive me	It's all good!
That's my mistake	It's all good!
I'm so sorry	It's all good!
Apologies	It's all good!
My apologies	It's all good!
Just wanted to say sorry	It's all good!
I'm very sorry	It's all good!
I'm terribly sorry	It's all good!
I'm sorry friend	It's all good!
I'm sorry	It's all good!
I'm remorseful	It's all good!
I'm really sorry	It's all good!
Oh god, I'm sorry	It's all good!
Oh gosh, sorry about that	It's all good!
I beg your forgiveness	It's all good!
I apologize for that	It's all good!
I am truly sorry	It's all good!
I am so very sorry	It's all good!
I am so sorry to hear that	It's all good!
I am ever so sorry	It's all good!
Geez, sorry	It's all good!
Forgive me	It's all good!
Crap, sorry	It's all good!
Can you ever forgive me	It's all good!
I sincerely apologize	It's all good!
Sorry for everything	It's all good!
Whoops sorry	It's all good!
Whoops I'm sorry	It's all good!
Whoops I messed up	It's all good!
That's my bad	It's all good!
That was totally my bad	It's all good!
That was my bad	It's all good!
srry	It's all good!
Sorry sorry	It's all good!
Sorry I made a mistake	It's all good!
My most sincere apologies	It's all good!
Sorry for that	It's all good!
Whoops that's my bad	It's all good!
Sorry bot	It's all good!
Sorry about that	It's all good!
Sorry	It's all good!
So sorry	It's all good!
Please, won't you forgive me?	It's all good!
Please forgive me	It's all good!
Please excuse me	It's all good!
Oops, sorry	It's all good!
Oops, my bad	It's all good!
Oops sorry	It's all good!
Omg sorry	It's all good!
Oh no sorry	It's all good!
Sorry I goofed up	It's all good!
Are you smart?	I always try my best. If that makes me smart, that's awesome!
That's very astute	I always try my best. If that makes me smart, that's awesome!
That was a very intelligent response	I always try my best. If that makes me smart, that's awesome!
That's a very genius answer	I always try my best. If that makes me smart, that's awesome!
That's pretty clever	I always try my best. If that makes me smart, that's awesome!
That's pretty brilliant	I always try my best. If that makes me smart, that's awesome!
That's the smartest thing I've ever seen	I always try my best. If that makes me smart, that's awesome!
You're a genius	I always try my best. If that makes me smart, that's awesome!
You are a genius	I always try my best. If that makes me smart, that's awesome!
That's a very smart thing to say	I always try my best. If that makes me smart, that's awesome!
That's a very clever response	I always try my best. If that makes me smart, that's awesome!
That was a clever answer	I always try my best. If that makes me smart, that's awesome!
That is very astute	I always try my best. If that makes me smart, that's awesome!
That was a pretty intelligent answer	I always try my best. If that makes me smart, that's awesome!
That was a pretty genius answer	I always try my best. If that makes me smart, that's awesome!
That was a pretty clever answer	I always try my best. If that makes me smart, that's awesome!
That was a pretty brilliant answer	I always try my best. If that makes me smart, that's awesome!
That was a pretty astute answer	I always try my best. If that makes me smart, that's awesome!
That was a genius response	I always try my best. If that makes me smart, that's awesome!
That was a smart answer	I always try my best. If that makes me smart, that's awesome!
That was a clever response	I always try my best. If that makes me smart, that's awesome!
That was a smart response	I always try my best. If that makes me smart, that's awesome!
That was a brilliant response	I always try my best. If that makes me smart, that's awesome!
That was a brilliant answer	I always try my best. If that makes me smart, that's awesome!
That is very smart	I always try my best. If that makes me smart, that's awesome!
That is very intelligent	I always try my best. If that makes me smart, that's awesome!
That is very genius	I always try my best. If that makes me smart, that's awesome!
That is very clever	I always try my best. If that makes me smart, that's awesome!
